trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.5, 'e': 0.9303999999999948}",20,-8,-291.7480072042898,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 5}",0
117,False,"{'a': 0.5, 'e': 0.9297999999999947}",20,-16,-182.81634057217474,"{0: 21, 1: 2, 2: 9, 3: 2, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.9291999999999947}",25,-52,-356.0637957786582,"{0: 50, 1: 5, 2: 14, 3: 3, 4: 5}",0
119,False,"{'a': 0.5, 'e': 0.9285999999999947}",25,-26,-266.08755470415406,"{0: 29, 1: 7, 2: 9, 3: 3, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.9279999999999946}",20,-100,-476.62179202290116,"{0: 74, 1: 15, 2: 21, 3: 4, 4: 6}",0
121,False,"{'a': 0.5, 'e': 0.9273999999999946}",35,-35,-333.03003875422917,"{0: 42, 1: 10, 2: 12, 3: 1, 4: 5}",0
122,False,"{'a': 0.5, 'e': 0.9267999999999945}",20,-1,-94.44517859158903,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.9261999999999945}",25,-23,-174.686182435771,"{0: 35, 1: 0, 2: 9, 3: 1, 4: 3}",0
124,False,"{'a': 0.5, 'e': 0.9255999999999944}",20,-21,-149.4348056375571,"{0: 29, 1: 2, 2: 6, 3: 2, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.9249999999999944}",20,-44,-271.8014051062931,"{0: 38, 1: 8, 2: 13, 3: 2, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.9243999999999943}",30,16,-10.574739773420074,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.9237999999999943}",20,12,-74.40516155537652,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.9231999999999942}",35,-31,-338.11025590416824,"{0: 43, 1: 3, 2: 11, 3: 4, 4: 5}",0
129,False,"{'a': 0.5, 'e': 0.9225999999999942}",25,-100,-499.8973079383362,"{0: 75, 1: 16, 2: 24, 3: 5, 4: 5}",0
130,False,"{'a': 0.5, 'e': 0.9219999999999942}",25,-90,-471.77831267743755,"{0: 68, 1: 15, 2: 25, 3: 2, 4: 5}",0
131,False,"{'a': 0.5, 'e': 0.9213999999999941}",25,-13,-230.54624585713196,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 4}",0
132,False,"{'a': 0.5, 'e': 0.9207999999999941}",20,-4,-90.8669515707547,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.920199999999994}",25,-85,-403.15951693124964,"{0: 74, 1: 13, 2: 11, 3: 7, 4: 5}",0
134,False,"{'a': 0.5, 'e': 0.919599999999994}",20,-6,-55.911853185628345,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.9189999999999939}",20,-52,-362.3859188723432,"{0: 43, 1: 7, 2: 14, 3: 4, 4: 4}",0
136,False,"{'a': 0.5, 'e': 0.9183999999999939}",20,-3,-100.22443640127447,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.9177999999999938}",30,-7,-203.23957765413462,"{0: 21, 1: 7, 2: 2, 3: 5, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.9171999999999938}",25,6,-42.772175684823296,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.9165999999999938}",25,-86,-603.9909175840324,"{0: 68, 1: 12, 2: 16, 3: 7, 4: 8}",0
140,False,"{'a': 0.5, 'e': 0.9159999999999937}",30,-41,-358.346314980377,"{0: 44, 1: 9, 2: 10, 3: 2, 4: 6}",0
141,False,"{'a': 0.5, 'e': 0.9153999999999937}",25,-100,-636.9463901254763,"{0: 74, 1: 16, 2: 22, 3: 4, 4: 9}",0
142,False,"{'a': 0.5, 'e': 0.9147999999999936}",30,-4,-187.19291597039427,"{0: 16, 1: 7, 2: 8, 3: 1, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.9141999999999936}",20,10,-24.083306570234576,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.9135999999999935}",30,-23,-232.8611117399229,"{0: 36, 1: 4, 2: 8, 3: 1, 4: 4}",0
145,False,"{'a': 0.5, 'e': 0.9129999999999935}",25,-35,-403.7826989550548,"{0: 27, 1: 6, 2: 19, 3: 5, 4: 3}",0
146,False,"{'a': 0.5, 'e': 0.9123999999999934}",20,-23,-230.25455396181954,"{0: 28, 1: 3, 2: 6, 3: 2, 4: 4}",0
147,False,"{'a': 0.5, 'e': 0.9117999999999934}",25,1,-136.42290923069692,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 2}",1
